=== METRICHE GLOBALI SU K-FOLD ===

precision_macro          : 0.0874 ± 0.0888
precision_micro          : 0.0122 ± 0.0155
precision_weighted       : 0.0122 ± 0.0155
recall_macro             : 0.0206 ± 0.0214
recall_micro             : 0.0025 ± 0.0032
recall_weighted          : 0.0025 ± 0.0032
specificity_macro        : 0.0186 ± 0.0195
specificity_micro        : 0.0024 ± 0.0031
specificity_weighted     : 0.0024 ± 0.0031
f1_macro                 : 0.0327 ± 0.0336
f1_micro                 : 0.0041 ± 0.0052
f1_weighted              : 0.0041 ± 0.0052
accuracy_macro           : 0.0186 ± 0.0195
accuracy_micro           : 0.0024 ± 0.0031
accuracy_weighted        : 0.0024 ± 0.0031
balanced_accuracy_macro  : 0.0196 ± 0.0204
balanced_accuracy_micro  : 0.0025 ± 0.0031
balanced_accuracy_weighted: 0.0025 ± 0.0031
