Risultati COCO (media � std su 3 fold)

Metrica              Media    Dev.Std
----------------------------------------
AP                0.224020   0.007396
AP50              0.258385   0.009602
AP75              0.250594   0.009612
AP_small         -1.000000   0.000000
AP_medium         0.240568   0.007284
AP_large          0.225475   0.089493
AR1               0.176544   0.003725
AR10              0.215842   0.008455
AR100             0.337734   0.005650
AR_small         -1.000000   0.000000
AR_medium         0.345966   0.005748
AR_large          0.253342   0.080482
